,birthday,name,description,deathday,uri
101,1527,張鳳翼,张凤翼（1527—1613）字伯起，号灵虚，别署灵墟先生、冷然居士。南直隶苏州府长洲（今江苏苏州）人。与弟燕翼、献翼并有才名，时人号为“三张”。嘉靖四十三年（1564）与燕翼皆中举人。为人狂诞，擅作曲。（来源：《上图古籍数据库》）,1613,http://data.library.sh.cn/entity/person/04gqe6a7kuntfz7t
102,1505,彭年,明学者。好学工书，有文名，与文徵明友善，家贫嗜酒，然除文字交外，不受升粟之馈，卒以贫困终，有《隆池山樵集》。（来源：《上图古籍数据库》）,1567,http://data.library.sh.cn/entity/person/lrxgswvo8bi9fwgw
103,1868,徐乃昌,"徐乃昌（1868—1936）字積餘，號隨庵，清安徽南陵人。光緒十九年（1893）恩科舉人，官至江南鹽法道兼金陵關監督。民國後寓居上海。
徐乃昌藏書約始於二十歲左右。當時，他在北京琉璃廠與繆荃孫相遇，以弱冠能談書論藝而與繆氏定交，後來徐乃昌撰《積學齋藏書志》，即請繆荃孫爲之序；光緒十九年，又與葉昌熾相識於北京，以後二人賞析舊籍，迭有往來。可以説，徐乃昌近五十年的藏書生涯，受到同時代各藏書名家的影響極大。徐乃昌的目録學成就雖不能與繆荃孫和葉昌熾等相比，但在保存傳播古典文獻方面，却有着他的獨特的貢獻。
徐乃昌的積學齋之藏，以清人文集和金石古器物爲多，王國維曾爲他的《隨庵勘書圖》題詩：「前有隨軒後隨庵，二徐焜耀天東南。海濱投筆得至樂，石墨琅書共一龕。」徐乃昌曾編有《積學齋藏書記》四卷、《積學齋書目》一卷、《隨庵徐氏藏書志》等，可惜均爲稿本或抄本。徐氏又編有《隨庵吉金圖録》、《小檀欒室鏡影》、《安徽通志金石古物考稿》、《積餘齋金石拓片目録》、《積餘齋集拓古錢譜》等。王國維對他以圖録傳古的做法曾表示極大的贊賞。
徐乃昌對於保存古典文獻的最大貢獻在於他的刻書事業。徐氏以一己之力，共刻有《積學齋叢書》、《小檀欒室彙刻閨秀詞百家》、《隨庵叢書》、《南陵先哲遺書》等九種叢書，計收書一八五種，再加上他單刻的《玉臺新咏》、《徐公文集》等，總數將近二百種，因此又是近代出版史上的重要出版家之一。（来源：《明清著名藏书家藏书印》）",1936,http://data.library.sh.cn/entity/person/x1u7mw9lono663sv
104,1631,徐乾學,"徐乾學（1631—1694）字原一，號健庵，崑山人。康熙九年（1670）進士，官至刑部尚書，曾主持監修《明史》、《大清會典》、《大清一統志》等。
徐乾學是清代著名學者顧炎武的外甥，本書香世家出身，生性愛書。萬斯同《傳是樓藏書歌》：「東海先生性愛書，胸中已貯萬卷餘，更向人間搜遺籍，直窮四庫盈其廬。」明末戰亂之後，藏書之家多不能守，及清初社會漸趨安定，各家散出之書始在民間流傳，於是徐乾學乘機廣爲搜購，而他的門生故吏又遍於全國各地，知他有嗜書之癖，無不盡力爲之網羅放佚，一時南北藏家之舊物，如細流歸海，匯於徐乾學之所。於是徐乾學乃築樓於所居之後，凡七楹，五尺寬的書橱，整整有七十二橱，部居類彙，各以其次，整理得井井有條。某日，徐乾學把他的幾個兒子叫到書樓，對他們説：「我們祖先都是清白起家，没有華美的莊園田産或者金玉玩好可以傳世，我所能留給你們的也祇有一樣東西。」然後他笑指滿樓藏書説：「所傳者惟是耳。」因名其樓爲傳是樓。在徐乾學看來，田産財寳終有用完之時，惟書裏的知識，可以永遠受用無窮。徐乾學還曾搜集唐宋以來的解經之書，彙編爲《通志堂經解》，後由其學生納蘭性德刊行於世。黄宗羲《傳書樓藏書記》評論説：「世之藏書家未必能讀，讀者未必能文章，而先生並是三者而能之，非近代藏書家所及。」是非虚語。
徐乾學編有《傳是樓書目》、《傳是樓宋元本書目》一卷，後者收宋元善本多達四百五十種，非後來普通藏書家所可比擬。傳是樓之藏，後經何義門介紹，多歸怡府安樂堂所有。（来源：《明清著名藏书家藏书印》）",1694,http://data.library.sh.cn/entity/person/oy4tviam5sevcyhg
105,1921.1.16,徐僖,徐僖(1921年1月16日-2013年2月16日），高分子材料科学家。1921年1月16日生于江苏南京。1944年毕业于浙江大学化工系。1948年获美国李海大学科学硕士学位。四川大学教授、高分子研究所所长，上海交通大学教授、高分子材料研究所所长。曾任成都科技大学副校长。1991年当选为中国科学院学部委员（院士）。 长期从事高分子力化学、高分子材料成型基础理论、油田化学以及辐射化学等领域的研究。采用超声波等力化学方法合成了一系列难以用一般化学方法合成的具有特殊结构性能的有应用前景的嵌段和接枝共聚物。提出通过氢键复合可以有效降低导电材料的结晶度，提高材料导电率，推动了快离子导体研究。获得发明专利26项。 曾获国家自然科学奖二等奖、教育部科技进步奖一等奖、四川省科技杰出贡献奖等20余项国家、部委、省级奖励。曾被授予全国高校先进科技工作者和全国教育系统劳动模范称号。（来源：《上图古籍数据库》）,2013.2.16,http://data.library.sh.cn/entity/person/3o2v4nx27d7hdwc5
106,1634,徐元文,字公肅，號立齋，徐乾學之弟。此印上部「徐元」二字因裝裱欠佳故，略顯右傾，然元文之印極為少見，故瞿鳳起先生有「培林」、「含經」兩家均未見藏書之印説，姑附於此。（来源：《明清著名藏书家藏书印》）,1691,http://data.library.sh.cn/entity/person/8u8pfznr15d3dhjj
107,1866,徐光濟,清末民国藏书家。徐志摩伯父，嗜书，蓄至数万卷，分装八箱二柜，编有《汲修斋丛书》。（来源：《上图古籍数据库》）,1935,http://data.library.sh.cn/entity/person/lum6o30fxp47lp28
108,1890,徐恕,现代藏书家。后藏书全部捐献湖北省图书馆，箱数逾千，册近十万，包括明清善本、钞本、稿本、批校本近万册，其中有唐人集若干。（来源：《上图古籍数据库》）,1959,http://data.library.sh.cn/entity/person/tv4pgv4j0mwbncz5
109,1895,徐悲鴻,现代画家、美术教育家。自幼随父亲徐达章学习诗文书画。1912年十七岁时便在宜兴女子初级师范等学校任图画教员，1916年入上海复旦大学法文系半工半读，并自修素描。先后留日、法，游历西欧诸国，观摹研究西方美术。1927年回国，历任上海南国艺术学院美术系主任、中央大学艺术系教授、北京大学艺术学院院长。中华人民共和国成立后任中华全国美术工作者协会主席、中央美术学院院长。擅长素描、油画、中国画，作品熔古今中外技法于一炉。（来源：《上图古籍数据库》）,1953.9,http://data.library.sh.cn/entity/person/rbxp5yexyiyet6xo
110,1814,徐時棟,徐时栋(1814—1873)清著名藏书家。字定宇，一字同叔，号柳泉，学者称“柳泉先生”。 因排行十三，故又称徐十三，号淡潺、淡斋，别号西湖外史。鄞县县城人。清道光二十六年(1846)中举人，两赴会试不第即不复应试，后以输饷授内阁中书。勤学博览，治经以先秦遗说为主，以经学解释经书。所作以古诗古文。博搜文献，刻《四明宋元六志》，称善本。同治七年（1868）开鄞志局，由他主持，仿国史馆列传体例，注所征引文献，排比成文，费时达12年之久，成《鄞县志》。（来源：《上图古籍数据库》）,1873,http://data.library.sh.cn/entity/person/xvkuv4xnbl8wtl8b
111,1622,徐枋,明末清初学者、书画家。崇祯十五年（1642）举人，诗书画均工，尤擅山水、芝兰，入清卖画自给。有《居易堂集》。（来源：《上图古籍数据库》）,1694,http://data.library.sh.cn/entity/person/sjvqyb1b0b8m1vos
112,1521.3.12,徐渭,徐渭（1521年3月12日—1593年），汉族，绍兴府山阴（今浙江绍兴）人。初字文清，后改字文长，号青藤老人、青藤道士、天池生、天池山人、天池渔隐、金垒、金回山人、山阴布衣、白鹇山人、鹅鼻山侬、田丹水、田水月（一作水田月）。明代著名文学家、书画家、戏曲家、军事家。曾担任胡宗宪幕僚，助其擒徐海、诱汪直。胡宗宪被下狱后，徐渭在忧惧发狂之下自杀九次却不死。后因杀继妻被下狱论死，被囚七年后，得张元忭等好友救免。此后南游金陵，北走上谷，纵观边塞阨塞，常慷慨悲歌。晚年非常贫苦，藏书数千卷被变卖殆尽，自称南腔北调人，于万历二十一年（1593年）去世，书画等各方面都独树一帜，与解缙、杨慎并称明代三才子。他是中国泼墨大写意画派创始人、青藤画派之鼻祖，其画能吸取前人精华而脱胎换骨，不求形似求神似，山水、人物、花鸟、竹石无所不工，以花卉最为出色，开创了一代画风，对后世画坛（如八大山人、石涛、扬州八怪等）影响极大。书善行草，写过大量诗文，被誉为有明一代才人。能操琴，谙音律，爱戏曲，所著《南词叙录》为中国第一部关于南戏的理论专著，另有杂剧《四声猿》、《歌代啸》及文集传世。（来源：《上图古籍数据库》）,1593,http://data.library.sh.cn/entity/person/44x51vl3lylp71ve
113,1563,徐火勃,"徐𤊹（1570—1654）字惟起，又字興公，福建閩縣人。生性恬淡，終生布衣。萬曆間與曹學佺主持閩中詞盟，時人稱爲「興公詩派」。
徐𤊹自幼性嗜典籍，博聞强識，嘗自謂：「人生之樂，莫過於閉户讀書。」故家境雖不富裕，於收書却不遺餘力。徐𤊹藏書樓名紅雨樓，經過幾十年的積聚，其紅雨樓藏書共達五萬三千餘卷。徐𤊹有一篇《藏書屋銘》，是他一生淡泊名利、究心學問的真實寫照。《銘》曰：「少弄詞章，遇書輒喜。家乏良田，但存經史。先人手澤，連篇累紙，珍惜裝潢，不忍殘毁。補缺拾遺，坊售肆市。五典三墳，六經諸子，詩詞集説，總兼樂府，稗官咸備。藏蓄匪稱汗牛，考核頗精亥豕。雖破萬卷之有餘，不博人間之青紫。茗椀香爐，明窗静几，開卷朗吟，古人在此。名士見而嘆嘉，俗夫聞而竊鄙。淫嗜生應不休，痴癖死而後已。此樂何假南面百城，豈曰誇多而鬬靡者也。」
徐氏收書，主張「傳布爲藏」，即收藏圖書是爲了流傳給更多的人閲讀。這種思想，對近代中國圖書館事業的發展，有相當積極的作用。
徐𤊹一生著述甚豐，流傳至今，有關目録學和校勘方面的，除《紅雨樓家藏書目》外，還有《紅雨樓題跋》和《筆精》等。清代洪亮吉曾經將歷代藏書家分爲考訂家、校讎家、收藏家、鑒賞家、掠販家數等，徐□大概可以算爲典型的考訂家或校讎家了。（来源：《明清著名藏书家藏书印》）",1639,http://data.library.sh.cn/entity/person/grm4n01nn4xa88ay
114,1907,恭弘=叶 恭弘潞淵,现代书画篆刻家。年十三进福泰钱庄习金融，先后任记帐员、营业员，后移职四明银行，历充出纳主任、襄理、副经理。志趣所在则是书画篆刻艺术之研求。十六岁师从赵叔孺。1956年上海中国画院成立，即被聘为画师。专攻秦汉印，旁及皖派。其作品态度严谨，刀法精湛，章法尤具匠心。达到了工而不板、活而不佻、奇而不野、蕴而不弱的艺术境界。与钱君匋合著《中国玺印源流》被海内外印坛称为经典性印学专著。另出版有《静乐印稿》、《叶潞渊印存》、《潞翁自刻石印集》。（来源：《上图古籍数据库》）,1994,http://data.library.sh.cn/entity/person/0j47j1gbqqvh6qja
115,1711.9.25,愛新覺羅·弘曆,清高宗爱新觉罗·弘历（1711－1799年），清朝第六位皇帝，定都北京后第四位皇帝。年号乾隆，寓意“天道昌隆”。25岁登基，在位六十年，退位后当了三年太上皇，实际掌握最高权力长达六十三年零四个月，是中国历史上执政时间最长、年寿最高的皇帝。乾隆帝在位期间平定大小和卓叛乱、巩固多民族国家的发展，六次下江南，文治武功兼修。并且当时文化、经济、手工业都是极盛时代，他在发展清朝康乾盛世局面作出了重要贡献，确为一代有为之君。庙号高宗，谥号法天隆运至诚先觉体元立极敷文奋武钦明孝慈神圣纯皇帝。葬于清东陵裕陵。（来源：《上图古籍数据库》）,1799,http://data.library.sh.cn/entity/person/kjt3wt14vjj10p1e
116,1743,愛新覺羅·永瑢,清亲王。乾隆皇帝第六子，纯惠皇贵妃苏氏所生。乾隆二十四年（1759）奉旨过继为其父弘历之二十一叔父、慎靖郡王允禧之嗣后，封贝勒。乾隆三十四年（1769）管理内务府事务，三十七年（1772）封质郡王，次年九月充四库全书馆总裁，乾隆四十四年（1779）监管钦天监事务，五十四年（1789）封质亲王。谥曰庄。书法得徐浩笔意，画花卉古淡苍逸，兼有少谷、沱江之胜。山水由烟客（王时敏）祖孙上窥大痴（黄公望），但其气息皆欠超妙，或由于天分稍差。著《九思堂诗钞》。（来源：《上图古籍数据库》）,1790,http://data.library.sh.cn/entity/person/bxmdeucb5joot2sl
117,1752,愛新覺羅永瑆,永瑆（1752—1823）愛新覺羅氏，字鏡泉，號詒晉齋主人，清高宗乾隆帝十一子永瑆，封成親王。永瑆工書畫，其詒晉齋所藏多舊刻秘籍，以經、史、子、集次其目，嘗題詩「錦軸牙簽富自夸，深居也説積書家」以自况。（来源：《明清著名藏书家藏书印》）,1823,http://data.library.sh.cn/entity/person/uwr7p4pyewlm5buo
118,1910,應野平,现代画家。幼承家学，喜爱绘画，十六岁后专攻山水画。1923年赴沪，入上海模范工厂电刻部当学徒，画银盾图案。满师后为富华公司画工，后入吴昌硕的海上题襟馆及黄宾虹、钱瘦铁的蜜蜂画社，转攻山水画。1933年任法租界法院录事。抗战爆发后，卖画为生，画艺渐精。抗战后任新华艺术专科学校教授。1949年后任上海人民美术出版社编辑室副主任，1960年任教于上海美术专科学校，1983年任上海大学美术学院教授。所作山水笔墨苍润拙朴，格调清新明快，画面气韵生动。且擅书法，以隶书见长。间作诗词，亦清新隽雅。出版有《应野萍画集》、《应野平山水画辑》、《应野平山水画册》、《应野平画辑》。（来源：《上图古籍数据库》）,1990,http://data.library.sh.cn/entity/person/7tyo9c3gychnqr5b
119,1621,戴本孝,清代画家戴本孝。字务旃，号鹰阿山樵，别号黄水湖渔父等。和州（今安徽和县）人。父为抗清名将。工诗文、书画。擅山水，师法倪瓒、王蒙、黄公望，师古能化，注重师法造化，作品多作小景，干笔焦墨，布局疏秀，意境清远枯淡。戴本孝名重一时，后人将其列为新安派画家。有《巢民老人观菊图》等传世。著有《前生诗稿》、《余生诗稿》。（来源：《上图古籍数据库》）,1691,http://data.library.sh.cn/entity/person/5sec4qza4uxg1irw
120,1502,文伯仁,明画家。文徵明之侄，诸生，擅画山水、人物，亦能诗。（来源：《上图古籍数据库》）,1575,http://data.library.sh.cn/entity/person/d0bge1vp4sqie8a8
121,1595,文俶,明女画家。文从简女，文徵明玄孙女，嫁赵灵均，与丈夫一同隐居。擅花卉，长于写生，多画幽花异卉、小虫怪蝶，能曲肖物情，颇得生趣。作品笔墨细秀，风格娟丽，深得时人赏识。有《花卉》册、《萱石图》等传世。（来源：《上图古籍数据库》）,1634,http://data.library.sh.cn/entity/person/lkfptiwnhf6ahdn8
122,1501,文嘉,"文嘉（1501-1583），字休承，号文水，文徵明之子,长洲（今江苏省吴县）人。吴门派代表画家文徵明的次子,文彭弟。是明清篆刻的一代宗师。文嘉精于鉴古,临古之功也深,画风传乃父衣钵,工书擅画，精于鉴赏，亦能诗。著有《钤山堂书画论》。《明史-文苑-文徵明传》后附有其小传。（来源：《上图古籍数据库》）",1583,http://data.library.sh.cn/entity/person/cx6l1r3ppz42yw18
123,1574,文從簡,明末书画家。文徵明曾孙，文嘉孙，文元善子。崇祯十三年（1640）拔贡，清后退居林下，以书画自娱。山水画似文徵明、文嘉，能传家法，笔墨简淡，略带荒率之致，但较少变化。用水墨居多，思致清或，布局安详，境界空灵，气韵浑厚。兼学王蒙、倪瓒，喜用枯笔皴斫，作方从义笔法，脱尽时人蹊径。书法李邕，最得其神。（来源：《上图古籍数据库》）,1648,http://data.library.sh.cn/entity/person/fgb5eoporjnq454q
124,1470,文徵明,文征明（1470-1559），原名壁，字征明。四十二岁起以字行，更字征仲。因先世衡山人，故号衡山居士，世称“文衡山”，明代画家、书法家、文学家。汉族，长州（今江苏苏州）人。生于明宣宗成化六年，卒于明世宗嘉靖三十八年，年九十岁，曾官翰林待诏。诗宗白居易、苏轼，文受业于吴宽，学书于李应祯，学画于沈周。在诗文上，与祝允明、唐寅、徐真卿并称“吴中四才子”。在画史上与沈周、唐寅、仇英合称“吴门四家”。（来源：《上图古籍数据库》）,1559,http://data.library.sh.cn/entity/person/24ypk4j2yowl8l0f
125,1574,文震孟,文震孟（1574～1636）初名从鼎，字文起，号湘南，别号湛持，一作湛村，明臣。字文起，别号湛持。汉族，长洲(今江苏苏州)人。徵明曾孙。生而奇伟，遐稜上指，目光射人，与世所传文信国像无异。年五十始成进士，为熹宗改元岁，廷对大魁天下。崇祯初拜礼部左侍郎，兼东阁大学士。卒年六十三。文震孟酷爱《楚辞》，颇有自比屈原之意。朱由嵩在南京称帝，追谥“文肃”。（来源：《上图古籍数据库》）,1636,http://data.library.sh.cn/entity/person/l25pnlcbvsid72j5
126,,方亨咸,清初官吏、书画家。顺治四年（1647）进士，官御史。雅好文学，精研诗词，能文，擅书，精于小楷。山水仿黄公望，博大沈雄，力追古雅，与程正揆、顾大申时称鼎足。花鸟意态如生。平生足迹几遍天下，不规规于古人。著有《邵村诗集》、《塞外乐府》、《楚粤使稿》等。（来源：《上图古籍数据库》）,,http://data.library.sh.cn/entity/person/et7yy204yzrrgmyp
127,1901,方人定,现代书画家。1920至1924年就学于广州法政专门学校，1923年入春睡画院，师从高剑父习画。1925年考入广东国立高等法官学校研究部，次年岁末毕业，后专攻美术。1929年作品参加比利时万国博览会，获金牌奖。同年留学日本，“九一八”后一度归国。1935年毕业于日本东京美术学校研究部，习西洋人体素描。回国后专习国画人物，1938年赴美游历，开画展。1941年与李抚虹等在香港成立“再造社”。中华人民共和国成立后历任华南人民文学艺术学院美术部教授、广东画院副院长、中国美术家协会广东分会常务理事、广州市政协常委。他不仅是一位坚持现实主义道路，在人物创作上卓有成就的画家，而且是一位造诣颇深的书法家和诗人。出版有《方人定画集》。（来源：《上图古籍数据库》）,1975,http://data.library.sh.cn/entity/person/dc2p65su5l4jbzxd
128,1829,方功惠,"方功惠（1829—1897？）字慶齡，號柳橋，清湖南巴陵（今岳陽）人。以父蔭任廣東鹽道知事，官至潮州知府。在任上，方功惠統轄粤、閩、贛、湘四省鹽課，曾在廣東爲左宗棠收復新疆籌集軍餉，以理財有方而受歷届兩廣總督的欣賞。
方功惠自幼嗜書，家有碧琳琅館，藏書十萬卷，富甲粤東。最難得的是，方功惠甚至在楊守敬之前就已經注意收集從日本散出的我國古籍珍本。當時正值日本明治維新，漢籍視若土苴，楊守敬訪書日本，搜得許多國内已經失傳的珍本秘籍，書林傳爲美談。而方功惠在光緒初年即已購得諸如日本曼殊院、尾張菊地氏、知止堂乃至佐伯文庫之舊藏。佐伯文庫爲日本著名私家藏書，其歷史甚至早於我國的天一閣，故不乏國内罕見之秘册。碧琳琅館盛於一時，連當時號稱博學的兩廣總督張之洞也常去碧琳琅館借閲書籍。
方氏饒於資財，故他和許多家境富裕的藏書家一樣，也喜歡刻書。所刊《碧琳琅館叢書》，收書四十四種，中多海内罕見孤本；又刻有《古經解彙函》、《古小學彙函》、《全唐文紀事》等，實爲書林有功之臣。
方功惠的藏書有《碧琳琅館書目》四卷，著録其藏書約三千種；《碧琳琅館珍藏書目》四卷，著録各類珍本約六八〇種；《碧琳琅館集部書目》不分卷，著録所藏集部總集之書約五百種。方功惠又有藏書題跋《碧琳琅館藏書記》，收録方氏藏書題識七十五篇。
方功惠卒後，其孫方湘賓將碧琳琅館全部藏書運至北京，請其同科舉人李希聖爲之鑒定，李氏因此遍讀碧琳琅館之藏而成《雁影齋題跋》和《雁影齋讀書記》。庚子之變後，方湘賓把藏書大部份賣給了北京琉璃廠書肆，葉昌熾《藏書紀事詩》云：「庚子春，太守已捐館，其家捆載遺書，至都門求售。過廠肆，見樣本，一睹其裝潢圖記，即知爲粤中裝訂，碧琳琅館舊藏也。每册有東丹箋副葉，可以辟蠹，書根宋字，齊如刀切。顧絀於資，望洋興歎，僅典衣購得吴中鄉先哲書五、六部，《皇甫司勳集》其一也。尚有錢叔寳《續吴都文萃》一百卷鈔本，索高價，正往來商榷，而拳禍作，倉皇避地，遂不復可問津矣。」又有部份捐贈京師大學堂，今存北京大學圖書館。（来源：《明清著名藏书家藏书印》）",1899,http://data.library.sh.cn/entity/person/9fw56qbkhqp6ay93
129,1692,方士庶,方士庶（1692—1751）字循远，一作洵远，号环山，又号小狮道人，一作小师道人，新安（今安徽歙县）籍，家维扬（今江苏扬州）。清代画家。（来源：《上图古籍数据库》）,1751,http://data.library.sh.cn/entity/person/rkwpn51ma4gfngkx
130,1923,方濟眾,现代画家。自幼学画，1944年汉中高中毕业后，曾先后在中、小学任美术、语文教师。1946年随赵望云研习中国画。后在陕甘宁边区文协工作。中华人民共和国成立后在中国美术家协会西安分会国画研究室从事创作。曾任陕西国画院院长、中国美协常务理事，美协陕西分会副主席、书协陕西分会副主席，陕西省文联副主席、第五届陕西省政协常委。擅长中国画山水人物，兼长书法诗文，尤工行书。为“长安画派”主要画家之一。（来源：《上图古籍数据库》）,1987,http://data.library.sh.cn/entity/person/ptwic2pm0ux5u6qq
131,1736,方薰,方薰(1736—1799)，字兰士，一字懒儒，号兰坻、兰如、兰生、长青、樗庵，别署语儿乡农，浙江石门（今属桐乡）布衣。槑子。性高逸狷介，朴野如山僧。诗、书、画并妙，写生尤工，与钱塘奚冈（字铁生，西泠八家之一）齐名，世称浙西两高士，称“方奚”。一时能手，无出二人之上。阮元评其画说：“深得宋元人秘法。”陈希濂则说：“兰士作画，繁不重，简不略，厚在神，秀在骨，高旷之气，突过时辈。”（来源：《上图古籍数据库》）,1799,http://data.library.sh.cn/entity/person/4ctfss3365q1l85x
132,1879,於右任,于右任（1879-1964）汉族，陕西三原人，祖籍泾阳，名伯循，字右任，国民党的元老，国际著名书法大师、著名的报刊活动家、教育家。与好友刘觉民等人先后创办复旦公学和中国公学，筹办《神州日报》、《民呼日报》、《民立报》，以宣传资产阶级革命主张。中华民国临时政府成立后，出任交通次长，主持部务。后出任陕西靖国军总司令以反对袁世凯。1922年创办上海大学，倡导国共合作。1926年与冯玉祥、刘觉民等人一道率国民军联军解救西安之围，出任驻陕总司令，放手起用共产党人和国民党左派人士。后来担任国民政府监察院长。抗战期间，仍公开支持国共两党再次合作。晚年在台湾仍渴望祖国统一。善长诗词书法，所创标准草书深受海内外学人欢迎。著有《于右任诗词集》、《标准草书千字书》等。（来源：《上图古籍数据库》）,1964.11,http://data.library.sh.cn/entity/person/6j3tn1gj94zqd1mv
133,1913,於希寧,现代画家。出身于翰墨世家，1933年入上海新华美专，受业黄宾虹、潘天寿、俞剑华等。1936年毕业后从事艺术教育，历任山东师范学院美术专修科、山东艺术专科学校、山东艺术学院副教授、教授、副院长、名誉院长，山东画院院长，美协山东分会副主席、主席、名誉主席，五届、六届山东省人大常委。堪称具有诗、画、印，和美术史论全面艺术修养的学者型艺术家。出版有《北魏石窟拓片选》、《殷周青铜花纹演变初探》、《论画梅》、《写意画花》、《于希宁花卉技法》、《于希宁画辑》、《于希宁画集》、《于希宁诗草》、《荣宝斋画谱于希宁》、《于希宁手拓黄宾虹藏秦汉印失遗》。（来源：《上图古籍数据库》）,2007,http://data.library.sh.cn/entity/person/x8wx42lrngrrloxm
134,1889,於非闇,近现代书画篆刻家。1912年入北京师范学校学习，一年后任教于北京市立第二小学，兼任北京《晨报》美编，同时随民间画家王润暄学习绘画，1935年担任故宫古物陈列所附设国画研究馆导师，并先后任教于北京师范学校、京华美术专科学校、华北大学、北平艺术专科学校。中华人民共和国成立后，相继任中央民族美术研究所研究员、北京中国画院画师、副院长。早期多画意笔山水，1935年起专攻工笔花鸟画，成就卓然。著有《我怎样画工笔花鸟画》、《中国画颜色研究》。（来源：《上图古籍数据库》）,1959,http://data.library.sh.cn/entity/person/6edfos2tx43o32vj
135,1874,易大廠,清末民国书画家。肄业广雅书院，为黄牧甫入室弟子。精研书画、篆刻、碑版音韵、文字源流、乐理等。历任暨南大学、国立音乐院教授，印铸局技师等。生平自诩：词第一，印次之，音韵又次之。诗文，下笔即成，从不起稿。著有《大厂词稿》、《双清池馆词集》、《大厂集宋词联帖》、《守愚斋题画诗词残存录》、《大厂印谱》。（来源：《上图古籍数据库》）,1941,http://data.library.sh.cn/entity/person/w0sp3ntlzgxbn427
136,1886,易忠籙,现代学者。早年就读于武昌经心书院，光绪末年赴日留学，毕业于日本早稻田大学经济科。参加同盟会，辛亥武昌起义，在潜江响应独立，后参加讨袁护国军。历任湖北图书馆馆长，武昌艺术专科学校金石书画科教员，西北大学、四川大学、成华大学教授。中华人民共和国成立后任四川省文史馆研究员。著有《古籒臆笺》、《静偶轩金石题跋》、《柏风堂题跋》、《说文部首形系》等。（来源：《上图古籍数据库》）,1969,http://data.library.sh.cn/entity/person/6co5nhm4dzgsbdvf
137,1658,曹寅,"曹寅（1658—1712）字子清，號荔軒，又號楝亭。其先世爲漢族，自其祖父起爲滿洲貴族的包衣（奴僕），隸滿洲漢軍正白旗。父曹璽任江寧織造時，嘗於署内手植楝樹數株，清緑可愛，因結亭其間，名曰「楝亭」。母孫氏，爲康熙乳母，故曹寅自幼有機會入宫做康熙的伴讀，以後又繼襲其父爲江寧織造。
曹寅好讀書，亦好藏書。任江寧織造期間，廣泛結交漢族士子，其中不乏藏書名家，如徐乾學、朱彝尊、宋牧仲、王士禛等。曹寅常向他們借抄藏書，尤其是朱彝尊的曝書亭珍秘，曹寅幾乎都抄有複本。李文藻《琉璃廠書肆記》：「楝亭掌織造、鹽政十餘年，竭力以事鉛槧，又結交朱竹垞，曝書亭之書，楝亭皆鈔有副本。以予所見，如《石刻鋪叙》、《宋朝通鑑長編紀事本末》、《太平寰宇記》、《春秋經傳闕疑》、《三朝北盟會編》、《後漢書年表》、《崇禎長編》諸書，皆鈔本；魏鶴山《毛詩要義》、《樓攻媿文集》諸書，皆宋槧本。」當然，投桃報李，互通有無，曹寅亦將自己的藏書借給朱彝尊抄録。葉昌熾《藏書紀事詩》描述説：「緑樹芳穠小草齊，楝花亭下一尊攜。金風亭長來游日，宋槧傳鈔滿竹西。」曹、朱二人以書會友，遂爲莫逆之交，書林傳爲佳話。
經過長年的努力，曹寅終於藏弆古本逾萬卷，坐擁書城，悠游楝亭，好不自得。《楝亭詩鈔》卷二《和芷園消夏十首》有《曝書》一詩：「十五年間萬卷藏，中年方覺曝書忙。遥憐揮汗繽繙處，時有微風送古香。」康熙四十四年（1705），曹寅奉旨刊刻《全唐詩》，在揚州設立了「全唐詩局」。曹寅藏書本來就以富有唐人詩集爲特色，故他利用主持詩局之便，一方面刊印了許多孤本、善本，使之流傳於世，另一方面也補充了不少家藏中所闕之書。曹寅曾編有《楝亭書目》四卷，分三十六大類，計著録藏書三二二七種。有《遼海叢書》本。
《全唐詩》書成後，曹寅有感於音韻對於詩歌創作的重要，乃彙輯前人文字音韻之書《大廣益會玉篇》、《大宋重修廣韻》、《集韻》、《類篇》、《附釋文互注禮部韻略》五種，刻成《楝亭五種》，每書都印有「楝亭藏本，丙戌九月重刻於揚州使院」印記，以後又刻有《楝亭十二種》以及單行本《隸辨》、《毛詩要義》等。
曹寅殁後不久，曹家因政治和經濟等方面的原因被抄家籍没，楝亭藏書亦隨之散出。李文藻《琉璃廠書肆記》云：「乾隆己丑五月二十三日……從内城買書數十部，每部都有『楝亭曹印』，其上又有『長白敷槎氏堇齋昌齡圖書印』。」昌齡即富察昌齡，字敷槎，號堇齋，曹寅外甥。以後孫星衍、丁日昌等都曾收藏過楝亭舊物。（来源：《明清著名藏书家藏书印》）",1712,http://data.library.sh.cn/entity/person/y1bxgqoz33fksx75
